Tag|Name|Keyword|VR|VM|Status
00080001|LengthToEnd|Length​To​End|UL|1|RET
00080005|SpecificCharacterSet|Specific​Character​Set|CS|1-n|
00080006|LanguageCodeSequence|Language​Code​Sequence|SQ|1|
00080008|ImageType|Image​Type|CS|2-n|
00080010|RecognitionCode|Recognition​Code|SH|1|RET
00080012|InstanceCreationDate|Instance​Creation​Date|DA|1|
00080013|InstanceCreationTime|Instance​Creation​Time|TM|1|
00080014|InstanceCreatorUid|Instance​Creator​UID|UI|1|
00080015|InstanceCoercionDatetime|Instance​Coercion​Date​Time|DT|1|
00080016|SopClassUid|SOP​Class​UID|UI|1|
00080017|AcquisitionUid|Acquisition​UID|UI|1|
00080018|SopInstanceUid|SOP​Instance​UID|UI|1|
00080019|PyramidUid|Pyramid​UID|UI|1|
0008001A|RelatedGeneralSopClassUid|Related​General​SOP​Class​UID|UI|1-n|
0008001B|OriginalSpecializedSopClassUid|Original​Specialized​SOP​Class​UID|UI|1|
00080020|StudyDate|Study​Date|DA|1|
00080021|SeriesDate|Series​Date|DA|1|
00080022|AcquisitionDate|Acquisition​Date|DA|1|
00080023|ContentDate|Content​Date|DA|1|
00080024|OverlayDate|Overlay​Date|DA|1|RET (2004)
00080025|CurveDate|Curve​Date|DA|1|RET (2004)
0008002A|AcquisitionDatetime|Acquisition​Date​Time|DT|1|
00080030|StudyTime|Study​Time|TM|1|
00080031|SeriesTime|Series​Time|TM|1|
00080032|AcquisitionTime|Acquisition​Time|TM|1|
00080033|ContentTime|Content​Time|TM|1|
00080034|OverlayTime|Overlay​Time|TM|1|RET (2004)
00080035|CurveTime|Curve​Time|TM|1|RET
00080040|DataSetType|Data​Set​Type|US|1|RET (2004)
00080041|DataSetSubtype|Data​Set​Subtype|LO|1|RET (2004)
00080042|NuclearMedicineSeriesType|Nuclear​Medicine​Series​Type|CS|1|RET (2004)
00080050|AccessionNumber|Accession​Number|SH|1|
00080051|IssuerOfAccessionNumberSequence|Issuer​Of​Accession​Number​Sequence|SQ|1|
00080052|Query/RetrieveLevel|Query​Retrieve​Level|CS|1|
00080053|Query/RetrieveView|Query​Retrieve​View|CS|1|
00080054|RetrieveAeTitle|Retrieve​AE​Title|AE|1-n|
00080055|StationAeTitle|Station​AE​Title|AE|1|
00080056|InstanceAvailability|Instance​Availability|CS|1|
00080058|FailedSopInstanceUidList|Failed​SOP​Instance​UID​List|UI|1-n|
00080060|Modality|Modality|CS|1|
00080061|ModalitiesInStudy|Modalities​In​Study|CS|1-n|
00080062|SopClassesInStudy|SOP​Classes​In​Study|UI|1-n|
00080063|AnatomicRegionsInStudyCodeSequence|Anatomic​Regions​In​StudyC​ode​Sequence|SQ|1|
00080064|ConversionType|Conversion​Type|CS|1|
00080068|PresentationIntentType|Presentation​Intent​Type|CS|1|
00080070|Manufacturer|Manufacturer|LO|1|
00080080|InstitutionName|Institution​Name|LO|1|
00080081|InstitutionAddress|Institution​Address|ST|1|
00080082|InstitutionCodeSequence|Institution​Code​Sequence|SQ|1|
00080090|ReferringPhysician'SName|Referring​Physician​Name|PN|1|
00080092|ReferringPhysician'SAddress|Referring​Physician​Address|ST|1|
00080094|ReferringPhysician'STelephoneNumbers|Referring​Physician​Telephone​Numbers|SH|1-n|
00080096|ReferringPhysicianIdentificationSequence|Referring​Physician​Identification​Sequence|SQ|1|
0008009C|ConsultingPhysician'SName|Consulting​Physician​Name|PN|1-n|
0008009D|ConsultingPhysicianIdentificationSequence|Consulting​Physician​Identification​Sequence|SQ|1|
00080100|CodeValue|Code​Value|SH|1|
00080101|ExtendedCodeValue|Extended​Code​Value|LO|1|DICOS
00080102|CodingSchemeDesignator|Coding​Scheme​Designator|SH|1|
00080103|CodingSchemeVersion|Coding​Scheme​Version|SH|1|
00080104|CodeMeaning|Code​Meaning|LO|1|
00080105|MappingResource|Mapping​Resource|CS|1|
00080106|ContextGroupVersion|Context​Group​Version|DT|1|
00080107|ContextGroupLocalVersion|Context​Group​Local​Version|DT|1|
00080108|ExtendedCodeMeaning|Extended​Code​Meaning|LT|1|DICOS
00080109|CodingSchemeResourcesSequence|Coding​Scheme​Resources​Sequence|SQ|1|
0008010A|CodingSchemeUrlType|Coding​Scheme​URL​Type|CS|1|
0008010B|ContextGroupExtensionFlag|Context​Group​Extension​Flag|CS|1|
0008010C|CodingSchemeUid|Coding​Scheme​UID|UI|1|
0008010D|ContextGroupExtensionCreatorUid|Context​Group​Extension​Creator​UID|UI|1|
0008010E|CodingSchemeUrl|Coding​Scheme​URL|UR|1|
0008010F|ContextIdentifier|Context​Identifier|CS|1|
00080110|CodingSchemeIdentificationSequence|Coding​Scheme​Identification​Sequence|SQ|1|
00080112|CodingSchemeRegistry|Coding​Scheme​Registry|LO|1|
00080114|CodingSchemeExternalId|Coding​Scheme​External​ID|ST|1|
00080115|CodingSchemeName|Coding​Scheme​Name|ST|1|
00080116|CodingSchemeResponsibleOrganization|Coding​Scheme​Responsible​Organization|ST|1|
00080117|ContextUid|Context​UID|UI|1|
00080118|MappingResourceUid|Mapping​Resource​UID|UI|1|
00080119|LongCodeValue|Long​Code​Value|UC|1|
00080120|UrnCodeValue|URN​Code​Value|UR|1|
00080121|EquivalentCodeSequence|Equivalent​Code​Sequence|SQ|1|
00080122|MappingResourceName|Mapping​Resource​Name|LO|1|
00080123|ContextGroupIdentificationSequence|Context​Group​Identification​Sequence|SQ|1|
00080124|MappingResourceIdentificationSequence|Mapping​Resource​Identification​Sequence|SQ|1|
00080201|TimezoneOffsetFromUtc|Timezone​Offset​From​UTC|SH|1|
00080202|Xxxxxxxxxx01|Xxxxxxxxxx01||0|RET (2020c)
00080220|ResponsibleGroupCodeSequence|Responsible​Group​Code​Sequence|SQ|1|
00080221|EquipmentModality|Equipment​Modality|CS|1|
00080222|Manufacturer'SRelatedModelGroup|Manufacturer​Related​Model​Group|LO|1|
00080300|PrivateDataElementCharacteristicsSequence|Private​Data​Element​Characteristics​Sequence|SQ|1|
00080301|PrivateGroupReference|Private​Group​Reference|US|1|
00080302|PrivateCreatorReference|Private​Creator​Reference|LO|1|
00080303|BlockIdentifyingInformationStatus|Block​Identifying​Information​Status|CS|1|
00080304|NonidentifyingPrivateElements|Nonidentifying​Private​Elements|US|1-n|
00080306|IdentifyingPrivateElements|Identifying​Private​Elements|US|1-n|
00080305|DeidentificationActionSequence|Deidentification​Action​Sequence|SQ|1|
00080307|DeidentificationAction|Deidentification​Action|CS|1|
00080308|PrivateDataElement|Private​Data​Element|US|1|
00080309|PrivateDataElementValueMultiplicity|Private​Data​Element​Value​Multiplicity|UL||
0008030A|PrivateDataElementValueRepresentation|Private​Data​Element​Value​Representation|CS|1|
0008030B|PrivateDataElementNumberOfItems|Private​Data​Element​Number​Of​Items|UL||
0008030C|PrivateDataElementName|Private​Data​Element​Name|UC|1|
0008030D|PrivateDataElementKeyword|Private​Data​Element​Keyword|UC|1|
0008030E|PrivateDataElementDescription|Private​Data​Element​Description|UT|1|
0008030F|PrivateDataElementEncoding|Private​Data​Element​Encoding|UT|1|
00080310|PrivateDataElementDefinitionSequence|Private​Data​Element​Definition​Sequence|SQ|1|
00080400|ScopeOfInventorySequence|Scope​Of​Inventory​Sequence|SQ|1|
00080401|InventoryPurpose|Inventory​Purpose|LT|1|
00080402|InventoryInstanceDescription|Inventory​Instance​Description|LT|1|
00080403|InventoryLevel|Inventory​Level|CS|1|
00080404|ItemInventoryDatetime|Item​Inventory​Date​Time|DT|1|
00080405|RemovedFromOperationalUse|Removed​From​Operational​Use|CS|1|
00080406|ReasonForRemovalCodeSequence|Reason​For​Removal​Code​Sequence|SQ|1|
00080407|StoredInstanceBaseUri|Stored​Instance​Base​URI|UR|1|
00080408|FolderAccessUri|Folder​Access​URI|UR|1|
00080409|FileAccessUri|File​Access​URI|UR|1|
0008040A|ContainerFileType|Container​File​Type|CS|1|
0008040B|FilenameInContainer|Filename​In​Container|UR|1|
0008040C|FileOffsetInContainer|File​Offset​In​Container|UV|1|
0008040D|FileLengthInContainer|File​Length​In​Container|UV|1|
0008040E|StoredInstanceTransferSyntaxUid|Stored​Instance​Transfer​Syntax​UID|UI|1|
0008040F|ExtendedMatchingMechanisms|Extended​Matching​Mechanisms|CS|1-n|
00080410|RangeMatchingSequence|Range​Matching​Sequence|SQ|1|
00080411|ListOfUidMatchingSequence|List​Of​UID​Matching​Sequence|SQ|1|
00080412|EmptyValueMatchingSequence|Empty​Value​Matching​Sequence|SQ|1|
00080413|GeneralMatchingSequence|General​Matching​Sequence|SQ|1|
00080414|RequestedStatusInterval|Requested​Status​Interval|US|1|
00080415|RetainInstances|Retain​Instances|CS|1|
00080416|ExpirationDatetime|Expiration​Date​Time|DT|1|
00080417|TransactionStatus|Transaction​Status|CS|1|
00080418|TransactionStatusComment|Transaction​Status​Comment|LT|1|
00080419|FileSetAccessSequence|File​Set​Access​Sequence|SQ|1|
0008041A|FileAccessSequence|File​Access​Sequence|SQ|1|
0008041B|RecordKey|Record​Key|OB|1|
0008041C|PriorRecordKey|Prior​Record​Key|OB|1|
0008041D|MetadataSequence|Metadata​Sequence|SQ|1|
0008041E|UpdatedMetadataSequence|Updated​Metadata​Sequence|SQ|1|
0008041F|StudyUpdateDatetime|Study​Update​Date​Time|DT|1|
00080420|InventoryAccessEndPointsSequence|Inventory​Access​End​Points​Sequence|SQ|1|
00080421|StudyAccessEndPointsSequence|Study​Access​End​Points​Sequence|SQ|1|
00080422|IncorporatedInventoryInstanceSequence|Incorporated​Inventory​Instance​Sequence|SQ|1|
00080423|InventoriedStudiesSequence|Inventoried​Studies​Sequence|SQ|1|
00080424|InventoriedSeriesSequence|Inventoried​Series​Sequence|SQ|1|
00080425|InventoriedInstancesSequence|Inventoried​Instances​Sequence|SQ|1|
00080426|InventoryCompletionStatus|Inventory​Completion​Status|CS|1|
00080427|NumberOfStudyRecordsInInstance|Number​Of​Study​Records​In​Instance|UL|1|
00080428|TotalNumberOfStudyRecords|Total​Number​Of​Study​Records|UV|1|
00080429|MaximumNumberOfRecords|Maximum​Number​Of​Records|UV|1|
00081000|NetworkId|Network​ID|AE|1|RET
00081010|StationName|Station​Name|SH|1|
00081030|StudyDescription|Study​Description|LO|1|
00081032|ProcedureCodeSequence|Procedure​Code​Sequence|SQ|1|
0008103E|SeriesDescription|Series​Description|LO|1|
0008103F|SeriesDescriptionCodeSequence|Series​Description​Code​Sequence|SQ|1|
00081040|InstitutionalDepartmentName|Institutional​Department​Name|LO|1|
00081041|InstitutionalDepartmentTypeCodeSequence|Institutional​Department​Type​Code​Sequence|SQ|1|
00081048|Physician(S)OfRecord|Physicians​Of​Record|PN|1-n|
00081049|Physician(S)OfRecordIdentificationSequence|Physicians​Of​Record​Identification​Sequence|SQ|1|
00081050|PerformingPhysician'SName|Performing​Physician​Name|PN|1-n|
00081052|PerformingPhysicianIdentificationSequence|Performing​Physician​Identification​Sequence|SQ|1|
